Year,Beijing,Tianjin,Hebei,Shanxi ,Inner Mongolia,Liaoning ,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2021,46941,16370,8330,6689,6516,9049,7050,6242,40974,13666,20386,7904,12653,7648,8743,6438,9100,6481,16453,5992,17550,9678,8304,5623,7869,8443,9680,5985,7851,6916,5548
2020,42684,16391,8251,6877,6654,9034,7488,7009,36741,13011,17645,7775,12175,7560,8492,6549,9140,6141,15335,6331,16751,8917,8041,5600,8267,8824,9624,6467,8164,6444,5588
2019,38433,15423,7787,6695,6122,8249,7329,7323,32926,11873,16303,7360,11205,7110,8126,6176,8665,5848,14115,6440,15114,8657,7529,5480,8010,7350,8798,5781,7269,5618,5807
2018,37420.19,15924.26,7566.72,6649.11,5339.79,7358.35,6800.56,6678.06,28981.11,10542.48,15242.01,6937.06,10612.64,6539.84,7386.25,5530.6,8135.76,5473.14,12915.25,5958.53,14104.76,8189.98,6691.23,5129.19,7384.44,6914.73,7921.85,5387.05,5936.6,4736.94,5427.31
2017,34117,15139,7039,5457,4239,6458,5748,6073,24866,9070,13430,6137,9284,5800,6153,5038,7307,4846,11416,5623,11381,6605,5888,4165,5664,5604,6477,5326,5298,4243,4538
2016,28489,12870,6290,4788,4042,5876,4946,5029,25910,8734,11447,5637,9175,5331,5728,4774,6457,4330,10936,5042,9775,5162,5449,3704,4812,4876,5264,4817,4612,3925,4204
2015,22300,9931,5530,4742,3939,5486,5213,4818,21501,7177,10755,5067,8565,5107,5290,4317,5663,3974,9495,4587,9226,5012,5034,3629,4800,3605,5082,4613,4241,4010,4176
2014,18499,8828,4988,4462,3833,5107,4810,4517,16415,6783,10586,5017,8843,4971,5029,3909,5085,3830,8526,4442,9262,5094,5092,3694,4451,5323,4823,4234,4294,3747,4057
2013,17854,8390,4640,4211,3863,4918,4228,4435,16192,6650,11016,4776,8618,4905,4797,3835,4847,3908,8466,4219,8633,5239,5086,3735,4176,3883,4991,3684,3957,3917,3949
2012,16553.48,8009.58,4141.96,3690.88,3656.41,4717.21,3875.1,3725.51,13869.88,6422.85,10679.69,4495.12,8365.92,4381.18,4556.63,3511.26,4668,3669.63,7667.89,3909.83,7811.26,4804.8,4959.19,3695.36,3861.01,2982.19,4803.05,3376.08,3692.21,3620.77,3593.82
2011,15517.9,8547.64,3766.75,3231.44,3340.67,4542.88,4161.17,3682.78,13565.83,6145.2,9801.15,4371.24,7451.95,3822,4298.78,3123.15,4142.13,3523.65,7560.85,3553.96,9083.14,4492.3,4595.13,3489.71,3388.41,3311.55,4705.28,3130.04,3090.01,3389.46,3286.95
2010,17151,7940,3442,3338,2983,4303,3495,3492,14290,5592,9332,3899,6077,2959,3809,2856,3506,3014,7004,3382,8800,4040,3985,3142,2893,2761,3668,2938,2894,3107,2872
2009,13224,6605,3210,2552,2649,3872,2788,3067,12364,4805,7890,3235,5366,2517,3390,2501,3413,2532,6360,3133,6291,3266,3434,2642,2723,2392,3113,2396,2442,2824,2466
2008,11648,5598,2743,2253,2265,3575,2399,2642,8115,3802,6144,2808,4498,2022,2851,2138,2898,2113,5723,2634,5441,2640,3067,2122,2441,3103,2821,1851,2384,2215,2100
2007,10661.24,5575.72,2505.01,2052.41,2014.52,3354.62,2191.77,2354.24,8253,3834.2,5623.27,2504.78,4475.95,1998.26,2799.25,2081.22,2937.45,2067.96,5682.14,2385.52,4094.58,2588.22,2752.81,1899.36,2295.74,2662.32,2487.38,2146.03,2205.75,1957.71,1959.99
2006,7375.41,4649.25,2028.41,1805.53,1626.79,2883.64,1858.43,2035.17,7039,3375.17,4510.12,2152.78,3655.74,1590.6,2399.94,1842.63,2422.14,1655.15,4588.62,1972.86,3734.67,2081.31,2122.56,1583.52,2190.65,1686.85,2297.07,1703.09,1840.5,1869.27,1684.06
2005,6162.13,3987.22,1777.48,1876.35,1401.56,2651.72,1755.55,1872.8,6698,3145.58,3973.04,2064.64,2800.86,1335.77,2294.63,1658.68,2163.65,1404.59,4149.26,1824.51,2855.27,1900.66,1687.87,1307.56,2000.84,1506.08,1930.33,1739.07,1681.03,1764.6,1509.01
2004,4747.14,2950.34,1486.47,1573.93,1224.84,2315.65,1758.45,1692.51,5761.21,2417.85,2785.68,1571.07,2296.71,1158,1885.87,1443.31,1599.13,1248.29,3298.3,1886.19,2380.18,1572.56,1351.44,1181.43,1860.35,2747.58,1597.66,1600.97,1415.37,1665.38,1324.89
2003,4456,2393,1343,1263,1077,2131,1447,1622,4989,2017,2451,1346,2053,964,1624,1289,1452,1188,2994,1699,2017,1324,1229,1143,1775,1745,1390,1175,1342,1515,1487
2002,4467,2414,1327,1253,1041,1991,1499,1599,4007,1806,2128,1171,1744,907,1535,1291,1408,1150,3022,1644,1797,1277,1190,1068,1784,1542,1481,1195,1167,1594,1444
